"CHILDID","mm1","mm2","mm3","w1","w2","w3","POST","cons","Mob","PRE","RET","wM","wPRE","wRET"
"1084010C",45,0,0,1,0,0,150.81,1,0,67.51,6,-0.0500266375602594,-12.0248187996206,3.27973336451877
"1084011C",45,0,0,1,0,0,75.15,1,0,35.9,6,-0.0500266375602594,-12.0248187996206,3.27973336451877
"1084019C",25,0,0,1,0,0,117.32,1,0,40.78,15,-0.188915526449148,-10.2684299107317,12.2797333645188
"1084020C",45,0,0,1,0,0,122.37,1,0,47.6,6,-0.0500266375602594,-12.0248187996206,3.27973336451877
"1084021C",45,0,0,1,0,0,64.8,1,0,55.04,6,-0.0500266375602594,-12.0248187996206,3.27973336451877
"1084022C",45,0,0,1,0,0,109.84,1,0,49.71,6,-0.0500266375602594,-12.0248187996206,3.27973336451877
"1084024C",45,0,0,1,0,0,132.37,1,0,48.41,6,-0.0500266375602594,-12.0248187996206,3.27973336451877
"1086001C",46,0,0,1,0,0,133.1,1,0,-1,1,-0.0579631454967673,-14.6428346726364,-1.72026663548123
"1086002C",46,0,0,1,0,0,75.87,1,0,59.13,1,-0.0579631454967673,-14.6428346726364,-1.72026663548123
"1086012C",46,0,0,1,0,0,139.78,1,0,52.01,1,-0.0579631454967673,-14.6428346726364,-1.72026663548123
"1086014C",46,0,0,1,0,0,105.5,1,0,58.34,1,-0.0579631454967673,-14.6428346726364,-1.72026663548123
"1086015C",46,0,0,1,0,0,133.2,1,0,59.24,1,-0.0579631454967673,-14.6428346726364,-1.72026663548123
"1086016C",46,0,0,1,0,0,141.6,1,0,65.42,1,-0.0579631454967673,-14.6428346726364,-1.72026663548123
"1086017C",46,0,0,1,0,0,153.82,1,0,73.51,1,-0.0579631454967673,-14.6428346726364,-1.72026663548123
"0195024C",849,1912,0,0.5,0.5,0,90.68,1,1,44.42,3,0.727751140217518,-18.209263244065,0.27973336451877
"1088001C",47,0,0,1,0,0,162.82,1,0,96.63,1,-0.272248859782482,7.41689060208882,-1.72026663548123
"1088002C",47,0,0,1,0,0,161.43,1,0,75.13,1,-0.272248859782482,7.41689060208882,-1.72026663548123
"1088005C",47,0,0,1,0,0,152.18,1,0,60.06,1,-0.272248859782482,7.41689060208882,-1.72026663548123
"1088007C",47,0,0,1,0,0,161.81,1,0,67.48,1,-0.272248859782482,7.41689060208882,-1.72026663548123
"1088011C",47,0,0,1,0,0,168.39,1,0,101.2,1,-0.272248859782482,7.41689060208882,-1.72026663548123
"1088013C",47,0,0,1,0,0,160.43,1,0,61.88,1,-0.272248859782482,7.41689060208882,-1.72026663548123
"1088014C",47,0,0,1,0,0,162.5,1,0,70.29,1,-0.272248859782482,7.41689060208882,-1.72026663548123
"1088015C",47,0,0,1,0,0,143.9,1,0,73.86,1,-0.272248859782482,7.41689060208882,-1.72026663548123
"1088018C",47,0,0,1,0,0,123.81,1,0,55.35,1,-0.272248859782482,7.41689060208882,-1.72026663548123
"1088019C",47,0,0,1,0,0,118.13,1,0,55.88,1,-0.272248859782482,7.41689060208882,-1.72026663548123
"1088024C",47,0,0,1,0,0,105.88,1,0,49.83,1,-0.272248859782482,7.41689060208882,-1.72026663548123
"1088025C",47,0,0,1,0,0,141.56,1,0,75.03,1,-0.272248859782482,7.41689060208882,-1.72026663548123
"1089001C",48,0,0,1,0,0,91.12,1,0,51.98,2,-0.147248859782482,-24.280513244065,-0.72026663548123
"1089003C",48,0,0,1,0,0,130.5,1,0,58.54,2,-0.147248859782482,-24.280513244065,-0.72026663548123
"1089009C",48,0,0,1,0,0,116.39,1,0,65.74,2,-0.147248859782482,-24.280513244065,-0.72026663548123
